startCommune	endCommune	no.call
Anyama	Abidjan	14135
Anyama	Treichville	13530
Adjame	Songon-Agban	12086
Songon-Agban	Adjame	11010
Bingerville	Abobo	10484
Bingerville	Yopougon	10400
Anyama	Port-Bouët	8723
Marcory	Anyama	8101
Yopougon	Bingerville	8041
Port-Bouët	Anyama	7896
Plateau	Songon-Agban	7760
Songon-Agban	Attecoube	7692
Attecoube	Songon-Agban	7673
Abobo	Bingerville	7491
Anyama	Koumassi	7465
Songon-Agban	Plateau	6945
Koumassi	Anyama	6762
Anyama	Marcory	6632
Bingerville	Adjame	4568
Adjame	Bingerville	4419
Bingerville	Port-Bouët	3580
Songon-Agban	Port-Bouët	3309
Port-Bouët	Songon-Agban	3203
Treichville	Songon-Agban	3080
Bingerville	Plateau	2903
Plateau	Bingerville	2749
Port-Bouët	Bingerville	2661
Songon-Agban	Treichville	2547
Marcory	Songon-Agban	2213
Songon-Agban	Marcory	2036
Bingerville	Attecoube	1988
Songon-Agban	Anyama	1898
Anyama	Songon-Agban	1837
Songon-Agban	Koumassi	1766
Koumassi	Songon-Agban	1723
Attecoube	Bingerville	1674
Bingerville	Abidjan	1447
Abidjan	Bingerville	1181
Bingerville	Treichville	898
Bingerville	Anyama	833
Bingerville	Marcory	787
Treichville	Bingerville	766
Marcory	Bingerville	764
Bingerville	Koumassi	757
Anyama	Bingerville	632
Bingerville	Songon-Agban	600
Koumassi	Bingerville	496
Songon-Agban	Bingerville	429
